,id,content,metrics,sentiment
0,1605596172311068672,"RT @FIFAWorldCup: In Argentina, the celebrations have not stopped 🇦🇷🏆 

#FIFAWorldCup https://t.co/26nzHvqVGW","{'author_id': 852008149997555712, 'created_at': datetime.datetime(2022, 12, 21, 16, 8, 52, tzinfo=datetime.timezone.utc), 'retweet_count': 845, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': 0}"
1,1605596171107344384,"RT @CastilloTrading: This World Cup Final is literally inane.

#FIFAWorldCup","{'author_id': 781778699393732608, 'created_at': datetime.datetime(2022, 12, 21, 16, 8, 52, tzinfo=datetime.timezone.utc), 'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': 0}"
2,1605596171073818626,"RT @FIFAWorldCup: Who was the best #️⃣9️⃣ in Qatar? 

#FIFAWorldCup #Qatar2022 https://t.co/sSO49w21x8","{'author_id': 1292578602773622786, 'created_at': datetime.datetime(2022, 12, 21, 16, 8, 52, tzinfo=datetime.timezone.utc), 'retweet_count': 1771, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': 0}"
3,1605596168720785410,"RT @TheMessiNFT: Lionel Messi has been crowned the best player at Qatar 2022 🏆

We launching our Discord server:
https://t.co/vgtb2xAXxm

L…","{'author_id': 1517228578626232320, 'created_at': datetime.datetime(2022, 12, 21, 16, 8, 51, tzinfo=datetime.timezone.utc), 'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': 0}"
4,1605596160730624000,"RT @TRADE3_0: Trade3 The King of Fighters NFT 300U Event💰

We are honored to use the @Quest3_xyz  
https://t.co/fws0ORFV0h

Enjoy the game…","{'author_id': 1573641560301838337, 'created_at': datetime.datetime(2022, 12, 21, 16, 8, 49, tzinfo=datetime.timezone.utc), 'retweet_count': 664, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': 0}"
5,1605596159229427712,"RT @_snuppy08: 🔥CRYPTO ARBITRAGE METHOD 📲💲                                                                            

Just Check CoW toke…","{'author_id': 1591106387500994561, 'created_at': datetime.datetime(2022, 12, 21, 16, 8, 49, tzinfo=datetime.timezone.utc), 'retweet_count': 87, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': 0}"
6,1605596155739377664,"RT @Extra_artsies: I still can't believe we won, I shouted so much during the match that my throat is still sore lol.
Gracias a la Scalonet…","{'author_id': 1138293597814501377, 'created_at': datetime.datetime(2022, 12, 21, 16, 8, 48, tzinfo=datetime.timezone.utc), 'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': 0}"
7,1605596150957871104,"RT @premierleague: Champions of the world!

🏆 @emimartinezz1
🏆 @LisandrMartinez
🏆 @CutiRomero2
🏆 @alemacallister
🏆 @julianalvarezzz 

Congr…","{'author_id': 1600613390, 'created_at': datetime.datetime(2022, 12, 21, 16, 8, 47, tzinfo=datetime.timezone.utc), 'retweet_count': 1952, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': 0}"
8,1605596145727651840,"RT @FIFAWorldCup: In Argentina, the celebrations have not stopped 🇦🇷🏆 

#FIFAWorldCup https://t.co/26nzHvqVGW","{'author_id': 1384131001115242497, 'created_at': datetime.datetime(2022, 12, 21, 16, 8, 46, tzinfo=datetime.timezone.utc), 'retweet_count': 845, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': 0}"
9,1605596145404628994,"RT @latestly: FIFA Shares BTS Jungkook’s Throwback Photos From His Opening Ceremony Performance at Qatar World Cup 2022

@bts_bighit @FIFAc…","{'author_id': 1578434515747356672, 'created_at': datetime.datetime(2022, 12, 21, 16, 8, 46, tzinfo=datetime.timezone.utc), 'retweet_count': 289, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': 0}"
