,id,content,metrics,sentiment
14,1605606695937273856,"RT @City_Xtra: Julián Álvarez's #FIFAWorldCup win with Argentina is being honoured in his hometown of Calchín, with the #ManCity striker to…","{'author_id': 1132374086938746882, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 41, tzinfo=datetime.timezone.utc), 'retweet_count': 20, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.8, 'sentiment_rating_value': 2}"
15,1605606682410639364,"RT @alimo_philip: 🐐 LIONEL MESSI

🌕 8th Ballon d'Or loading…………

#FIFAWorldCup|#Messi𓃵|#GOAT𓃵 https://t.co/MUTormhsyS","{'author_id': 1168524583923851264, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 38, tzinfo=datetime.timezone.utc), 'retweet_count': 1211, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': -2}"
16,1605606675662180352,"RT @saqibmufc: It was just a group match btw 🙃...LEVELS! 

#PAKvsENG #FIFAWorldCup #IPLAuction https://t.co/The3bwshfP","{'author_id': 1414239021098668033, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 36, tzinfo=datetime.timezone.utc), 'retweet_count': 66, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': -2}"
17,1605606663993450496,"RT @matchday: Get FREE @Matchday Footballer Cards!

Sign up here ➡️ https://t.co/ciZhteymCL

Build your squad, invite your friends, and com…","{'author_id': 1338689004385001474, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 34, tzinfo=datetime.timezone.utc), 'retweet_count': 3254, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.5, 'sentiment_rating_value': 1}"
18,1605606659790757907,"RT @bts_bighit: ""Look who we are, we are the dreamers
We make it happen, cause we believe it""

Huge respect &amp; love for all the players, sta…","{'author_id': 3011845189, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 33, tzinfo=datetime.timezone.utc), 'retweet_count': 169050, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.45000000000000007, 'sentiment_rating_value': -2}"
19,1605606659346161673,"RT @FIFAWorldCup: In Argentina, the celebrations have not stopped 🇦🇷🏆 

#FIFAWorldCup https://t.co/26nzHvqVGW","{'author_id': 1307338338177875968, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 32, tzinfo=datetime.timezone.utc), 'retweet_count': 957, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': -2}"
20,1605606656125145088,"RT @ninaphoenix_: A small country with a big heart! 
Iznad svih, Hrvatska! 🇭🇷❤️

P.S. I have the biggest heart. 😜

#FIFAWorldCup #Qatar2022…","{'author_id': 1010848862779641856, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 32, tzinfo=datetime.timezone.utc), 'retweet_count': 100, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': -0.125, 'sentiment_rating_value': -2}"
21,1605606649573433345,"RT @_snuppy08: 🔥CRYPTO ARBITRAGE METHOD 📲💲                                                                            

Just Check CoW toke…","{'author_id': 2382313676, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 30, tzinfo=datetime.timezone.utc), 'retweet_count': 126, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': -0.13333333333333333, 'sentiment_rating_value': -2}"
22,1605606643747545093,"RT @CryptoWorIdCup: Congratulations to #Argentina for winning the 2022 #FIFAWorldCup 🇦🇷 🏆 

While the #WorldCupFinal is over, the competiti…","{'author_id': 1540635785153507330, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 29, tzinfo=datetime.timezone.utc), 'retweet_count': 4026, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.5, 'sentiment_rating_value': 1}"
23,1605606636227555328,RT @SufyanJadoon: Argentina have swept the awards 🔥 #FIFAWorldCup https://t.co/gDvxG6Uj6i,"{'author_id': 1054027638086529024, 'created_at': datetime.datetime(2022, 12, 21, 16, 50, 27, tzinfo=datetime.timezone.utc), 'retweet_count': 111, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'sentiment_score': 0.0, 'sentiment_rating_value': -2}"
